,City,Cloudiness,Country,Date,Humidity,Latitude,Longtitude,Maximum Temperature,Wind Speed
101,Atuona,90,PF,1604709823,75,-9.8,-139.03,78.39,14.99
102,Mar del Plata,20,AR,1604709823,88,-38.0,-57.56,63.0,6.93
103,Lahān,0,NP,1604709823,70,26.73,86.5,64.53,2.75
104,San Patricio,20,US,1604709823,78,28.02,-97.52,71.6,12.75
105,Mahajanga,20,MG,1604709823,94,-15.72,46.32,75.2,3.36
106,Padre Bernardo,100,BR,1604709823,64,-15.35,-48.5,77.29,1.7
107,Jiuquan,0,CN,1604709823,59,39.74,98.52,36.52,1.14
108,Shamkhal,40,RU,1604709823,81,43.06,47.34,44.6,15.66
109,Grindavik,75,IS,1604709824,69,63.84,-22.43,39.2,18.34
110,Lavrentiya,32,RU,1604709824,84,65.58,-171.0,35.47,26.8
111,Samfya,0,ZM,1604709824,33,-11.36,29.56,71.24,6.24
112,Hobart,75,AU,1604709647,53,-42.88,147.33,55.0,14.99
113,Bahir Dar,100,ET,1604709824,74,11.59,37.39,58.62,3.22
114,Petapa,40,GT,1604709824,77,14.5,-90.55,69.8,9.17
115,Salalah,20,OM,1604709824,78,17.02,54.09,71.6,4.7
116,Rio Grande,9,BR,1604709811,85,-32.03,-52.1,66.0,5.01
117,Khatanga,0,RU,1604709824,90,71.97,102.5,-5.35,6.93
118,Portland,68,US,1604709555,95,45.52,-122.68,48.0,6.76
119,Raudeberg,100,NO,1604709825,89,61.99,5.14,50.0,28.95
120,Pochutla,90,MX,1604709825,74,15.74,-96.47,81.0,2.35
121,Marystown,100,CA,1604709825,100,47.17,-55.15,52.0,5.01
122,Saint Paul Harbor,20,US,1604709825,65,57.79,-152.41,44.6,1.07
123,Nara,75,JP,1604709825,87,34.69,135.8,60.8,2.24
124,Changji,0,CN,1604709825,55,44.02,87.32,33.8,4.47
125,Road Town,100,VG,1604709825,84,18.42,-64.62,81.0,1.99
126,Richards Bay,17,ZA,1604709825,92,-28.78,32.04,69.44,7.49
127,Port Elizabeth,20,ZA,1604709801,82,-33.92,25.57,59.0,5.82
128,Novopokrovka,40,UA,1604709826,87,49.84,36.55,44.6,8.95
129,Deputatsky,30,RU,1604709826,93,69.3,139.9,-9.18,1.68
130,Laas,5,IT,1604709826,93,46.62,10.7,44.01,3.36
131,Vestmannaeyjar,99,IS,1604709826,69,63.44,-20.27,40.75,16.44
132,Port Hardy,40,CA,1604709826,70,50.7,-127.42,44.6,14.99
133,Norman Wells,75,CA,1604709826,84,65.28,-126.83,6.8,2.24
134,Albany,30,US,1604709826,49,42.6,-73.97,57.99,5.41
135,Ribeira Grande,98,PT,1604709826,67,38.52,-28.7,59.45,28.39
136,Dongsheng,0,CN,1604709827,71,39.82,109.98,34.66,18.39
137,Jalu,8,LY,1604709827,67,29.03,21.55,62.19,8.55
138,Clyde River,75,CA,1604709827,84,70.47,-68.59,6.8,18.34
139,Al Bardīyah,42,LY,1604709827,74,31.76,25.09,66.22,11.39
140,Leyva Solano,0,MX,1604709827,79,25.67,-108.64,81.0,5.01
141,Acarí,25,PE,1604709827,62,-15.43,-74.62,66.0,3.04
142,Saint Anthony,1,US,1604709827,40,45.02,-93.22,68.0,11.41
143,Chui,100,UY,1604709828,92,-33.7,-53.46,60.64,8.68
144,Ukiah,20,US,1604709828,58,39.15,-123.21,53.6,4.7
145,Port Hedland,0,AU,1604709828,33,-20.32,118.57,89.6,17.22
146,Nome,90,US,1604709828,86,64.5,-165.41,39.99,21.92
147,Bengkulu,6,ID,1604709828,71,-3.8,102.27,80.92,3.18
148,Qaanaaq,95,GL,1604709828,78,77.48,-69.36,-6.27,8.23
149,Narva-Jõesuu,0,EE,1604709828,81,59.46,28.04,50.58,15.52
150,Christchurch,100,NZ,1604709716,82,-43.53,172.63,64.0,5.82
151,Lompoc,1,US,1604709591,58,34.64,-120.46,59.0,24.16
152,Arraial do Cabo,75,BR,1604709805,83,-22.97,-42.03,71.6,9.17
153,Castro,0,BR,1604709534,91,-24.79,-50.01,54.55,8.25
154,Praia,0,CV,1604709829,83,14.92,-23.51,77.0,8.05
155,Beringovskiy,18,RU,1604709829,88,63.05,179.32,29.16,21.72
156,Banikoara,0,BJ,1604709829,31,11.3,2.44,77.05,3.98
157,Tete,0,MZ,1604709829,37,-16.16,33.59,82.4,3.36
158,Arrondissement de Gap,0,FR,1604709829,73,44.67,6.0,48.0,4.38
159,Tadotsu,75,JP,1604709829,100,34.27,133.75,64.0,2.24
160,Port-Gentil,100,GA,1604709829,92,-0.72,8.78,76.64,8.97
161,Koslan,100,RU,1604709830,93,63.46,48.9,33.57,6.11
162,Lewistown,1,US,1604709830,66,40.6,-77.57,54.0,2.89
163,Dingle,100,PH,1604709803,83,11.0,122.67,81.3,8.03
164,Mount Gambier,90,AU,1604709830,62,-37.83,140.77,57.2,14.99
165,Huangzhou,0,CN,1604709830,93,30.45,114.8,57.2,2.24
166,Kultuk,16,RU,1604709830,89,51.72,103.7,17.94,3.85
167,Ilulissat,100,GL,1604709830,51,69.22,-51.1,12.2,20.8
168,Andenes,100,NO,1604709830,65,69.31,16.12,44.6,21.92
169,Sobolevo,100,RU,1604709830,93,54.43,31.9,44.01,13.24
170,Fortuna,75,US,1604709830,81,40.6,-124.16,52.0,8.05
171,Leamington,98,CA,1604709831,55,42.05,-82.61,62.6,8.05
172,Leningradskiy,100,RU,1604709831,98,69.38,178.42,27.99,8.86
173,Las Palmas,20,ES,1604709831,77,28.42,-14.01,66.2,3.36
174,São Luís do Quitunde,75,BR,1604709831,94,-9.32,-35.56,75.2,6.93
175,Cherskiy,75,RU,1604709831,95,68.75,161.3,8.55,11.18
176,Honchō,40,JP,1604709831,77,41.88,140.68,62.6,8.05
177,Coyhaique,0,CL,1604709831,54,-45.58,-72.07,53.6,5.82
178,Guangyuan,92,CN,1604709831,78,32.44,105.82,54.0,3.69
179,Adrar,51,MR,1604709831,31,20.5,-10.07,80.38,10.47
180,Naze,20,JP,1604709832,88,28.37,129.48,80.6,10.29
181,Shimoda,75,JP,1604709832,82,34.67,138.95,68.0,19.46
182,Chastyye,97,RU,1604709832,95,57.29,54.97,37.08,5.64
183,Nikolskoye,0,RU,1604709832,76,59.7,30.79,50.0,24.61
184,Provideniya,9,RU,1604709832,85,64.38,-173.3,34.93,25.77
185,Bethel,1,US,1604709550,76,41.37,-73.41,59.0,5.88
186,Niagara Falls,1,CA,1604709832,67,43.1,-79.07,60.01,14.99
187,Balkhash,0,KZ,1604709832,65,46.84,74.98,39.31,8.12
188,Hasilpur,0,PK,1604709833,30,29.71,72.56,61.88,4.14
189,Geraldton,0,AU,1604709820,53,-28.77,114.6,73.4,4.7
190,Beloha,20,MG,1604709833,77,-25.17,45.05,65.66,1.7
191,Boa Vista,75,BR,1604709833,78,2.82,-60.67,80.6,9.17
192,College,90,US,1604709833,85,64.86,-147.8,26.01,10.76
193,Upernavik,0,GL,1604709833,76,72.79,-56.15,-2.07,7.31
194,Erenhot,0,CN,1604709599,80,43.65,111.98,29.95,18.72
195,Faanui,0,PF,1604709833,80,-16.48,-151.75,79.74,16.82
196,Guapí,100,CO,1604709833,88,2.57,-77.89,75.43,3.62
197,Kyzyl-Suu,0,KG,1604709833,56,42.34,78.01,36.82,8.3
198,Hamilton,1,US,1604709834,76,39.18,-84.53,57.99,2.75
199,Ternate,100,ID,1604709834,71,0.8,127.4,83.84,7.2
200,Saint-Pierre,0,RE,1604709834,68,-21.34,55.48,68.0,6.93
201,Cabedelo,75,BR,1604709834,83,-6.98,-34.83,78.8,9.17
202,Shimokizukuri,75,JP,1604709549,72,40.81,140.39,63.0,10.29
203,Boajibu,100,SL,1604709834,96,8.18,-11.33,74.43,2.66
204,Zhangye,0,CN,1604709834,54,38.93,100.45,39.09,2.98
205,Omboué,100,GA,1604709834,94,-1.57,9.26,75.58,3.0
206,Zaysan,100,KZ,1604709835,86,47.47,84.87,31.64,0.34
207,Houma,40,US,1604709835,83,29.6,-90.72,71.6,10.29
208,São Filipe,100,CV,1604709835,79,14.9,-24.5,78.39,5.41
209,Silifke,0,TR,1604709835,49,36.38,33.93,64.72,11.9
210,Kysucké Nové Mesto,0,SK,1604709835,93,49.3,18.78,37.99,1.12
211,Katsuura,75,JP,1604709835,73,35.13,140.3,69.8,17.22
212,Luganville,40,VU,1604709835,74,-15.53,167.17,84.2,10.29
213,Margate,0,GB,1604709574,70,51.38,1.39,51.01,1.99
214,Brainerd,1,US,1604709836,42,46.36,-94.2,63.0,10.29
215,Pisco,90,PE,1604709836,82,-13.7,-76.22,64.4,14.99
216,Goderich,47,CA,1604709690,63,43.75,-81.72,60.8,14.99
217,Bucerías,5,MX,1604709837,78,20.75,-105.33,80.6,4.7
218,La Santisima Trinidad,0,BO,1604709837,30,-14.83,-64.9,84.9,2.42
219,Baykit,100,RU,1604709837,90,61.67,96.37,6.51,3.13
220,Labuhan,6,ID,1604709838,71,-6.88,112.21,83.08,5.44
221,Klaksvík,100,FO,1604709838,93,62.23,-6.59,44.6,14.99
222,Kisumu,100,KE,1604709838,78,-0.1,34.76,66.09,4.88
223,Malbork,92,PL,1604709838,100,54.04,19.03,50.0,6.8
224,Ponta do Sol,0,PT,1604709819,67,32.67,-17.1,62.01,2.24
225,Santa Barbara,1,US,1604709838,54,34.73,-120.03,57.99,18.34
226,Raja,0,SS,1604709838,47,8.46,25.68,72.72,2.33
227,Kilakarai,83,IN,1604709839,85,9.23,78.78,79.09,10.47
228,Sørland,100,NO,1604709839,89,67.67,12.69,46.42,28.05
229,Setermoen,100,NO,1604709839,80,68.86,18.35,39.2,18.34
230,Pattani,75,TH,1604709839,100,6.75,100.42,78.8,1.16
231,Kindu,100,CD,1604709839,98,-2.95,25.95,70.02,1.9
232,Kavieng,80,PG,1604709839,75,-2.57,150.8,84.74,13.09
233,Bairiki Village,75,KI,1604709839,66,1.33,172.98,86.0,10.29
234,Livenka,92,RU,1604709839,87,50.45,38.3,40.51,8.55
235,Gravelbourg,100,CA,1604709729,63,49.88,-106.55,35.6,6.93
236,Poum,0,NC,1604709839,73,-20.23,164.02,78.13,8.52
237,Fes,75,MA,1604709835,77,34.04,-5.0,59.0,4.7
238,Nanortalik,100,GL,1604709840,87,60.14,-45.24,34.45,19.64
239,Sioux Lookout,75,CA,1604709840,92,50.1,-91.92,35.6,2.24
240,Tabriz,90,IR,1604709585,87,38.08,46.29,48.2,4.7
241,Mildura,40,AU,1604709840,48,-34.2,142.15,62.6,11.41
242,Jacmel,99,HT,1604709840,75,18.23,-72.53,76.59,4.12
243,Beidao,21,CN,1604709840,50,34.57,105.89,48.16,0.27
244,Emba,100,KZ,1604709840,71,48.83,58.14,44.78,9.64
245,Kutum,0,SD,1604709841,32,14.2,24.67,61.75,7.23
246,Nantucket,90,US,1604709696,93,41.28,-70.1,59.0,16.11
247,Ossora,96,RU,1604709841,85,59.24,163.07,31.78,3.11
248,Aksu,0,CN,1604709548,75,41.12,80.26,33.55,0.2
249,Alice Springs,42,AU,1604709624,13,-23.7,133.88,75.2,17.22
250,Rome,1,US,1604709841,66,43.21,-75.46,57.99,3.91
251,Yulara,0,AU,1604709841,10,-25.24,130.99,80.6,14.99
252,Ghansor,0,IN,1604709841,48,22.65,79.95,55.94,1.97
253,Gulu,100,UG,1604709842,94,2.77,32.3,65.17,2.39
254,Dunedin,100,NZ,1604709842,54,-45.87,170.5,62.01,11.01
255,Lebu,0,CL,1604709842,79,-37.62,-73.65,52.86,20.62
256,Mafra,0,BR,1604709610,93,-26.11,-49.81,50.0,4.65
257,Paamiut,100,GL,1604709842,97,61.99,-49.67,32.27,27.31
258,Lüderitz,0,NA,1604709842,75,-26.65,15.16,58.8,2.82
259,Samarai,9,PG,1604709842,76,-10.62,150.67,82.94,8.32
260,Meulaboh,100,ID,1604709842,90,4.14,96.13,76.39,6.17
261,Begunitsy,0,RU,1604709842,76,59.59,29.32,50.0,24.61
262,Mahébourg,40,MU,1604709843,94,-20.41,57.7,68.0,2.24
263,Souillac,40,MU,1604709843,94,-20.52,57.52,68.0,2.24
264,Galich,100,RU,1604709843,94,58.38,42.35,36.84,10.33
265,Umluj,7,SA,1604709843,69,25.02,37.27,72.45,8.75
266,Half Moon Bay,75,US,1604709843,87,37.46,-122.43,55.99,6.93
267,Kentau,2,KZ,1604709843,62,43.52,68.51,40.95,3.36
268,Gua Musang,80,MY,1604709843,90,4.88,101.96,76.59,0.96
269,Sambava,100,MG,1604709844,89,-14.27,50.17,71.19,10.09
270,Solnechnyy,100,RU,1604709844,86,50.72,136.63,25.86,2.33
271,Mitsamiouli,0,KM,1604709844,74,-11.38,43.28,78.24,10.11
272,Guerrero Negro,0,MX,1604709844,79,27.98,-114.06,69.21,15.03
273,Moree,0,AU,1604709844,29,-29.47,149.85,77.0,6.93
274,Westport,1,US,1604709844,87,41.14,-73.36,57.2,4.7
275,Lubango,62,AO,1604709844,47,-14.92,13.49,62.28,3.65
276,Berlevåg,0,NO,1604709844,75,70.86,29.09,40.44,31.59
277,Ca Mau,0,VN,1604709597,83,9.18,105.15,81.18,1.19
278,Severo-Yeniseyskiy,100,RU,1604709845,98,60.37,93.04,20.46,7.87
279,Meadow Lake,75,US,1604709845,17,34.8,-106.54,66.2,6.93
280,Vostok,100,RU,1604709845,83,46.49,135.88,36.93,8.75
281,Sisimiut,100,GL,1604709845,83,66.94,-53.67,13.33,10.78
282,Kampong Chhnang,100,KH,1604709845,91,12.17,104.55,76.6,2.59
283,Belyy Yar,0,RU,1604709845,80,53.6,91.39,39.2,8.95
284,Juneau,90,US,1604709845,86,58.3,-134.42,30.0,4.7
285,Hambantota,20,LK,1604709846,100,6.12,81.12,75.2,4.7
286,Ancud,100,CL,1604709846,76,-41.87,-73.82,52.0,6.93
287,Kaitangata,18,NZ,1604709846,74,-46.28,169.85,55.0,15.99
288,Ketchikan,90,US,1604709846,69,55.34,-131.65,39.2,5.82
289,Manaure,81,CO,1604709846,76,11.78,-72.44,81.18,9.8
290,Havre-St-Pierre,90,CA,1604709846,100,50.23,-63.6,33.8,11.41
291,Villa del Rosario,33,CO,1604709846,81,7.83,-72.47,74.17,2.71
292,Dikson,0,RU,1604709833,89,73.51,80.55,-0.35,4.92
293,Kuching,40,MY,1604709847,100,1.55,110.33,77.0,2.24
294,Tiznit Province,0,MA,1604709847,70,29.58,-9.5,61.52,2.15
295,Port Lincoln,24,AU,1604709847,64,-34.73,135.87,60.1,15.61
296,Biak,79,ID,1604709847,63,-0.91,122.88,84.31,4.59
297,Sitka,90,US,1604709847,86,57.05,-135.33,39.2,5.82
298,Sangar,99,RU,1604709847,91,63.92,127.47,-5.6,3.49
299,Bereda,100,ES,1604709847,100,43.27,-7.54,55.0,1.01
300,Broken Hill,0,AU,1604709847,48,-31.95,141.43,62.6,12.75
301,Safi,0,MA,1604709847,83,32.3,-9.24,66.29,21.25
302,Rocha,98,UY,1604709840,95,-34.48,-54.33,57.49,5.93
303,Susanville,75,US,1604709848,65,40.42,-120.65,41.0,5.82
304,Nago,1,JP,1604709848,88,26.59,127.98,80.6,4.7
305,Russell,1,US,1604709848,68,32.35,-85.2,69.8,4.7
306,Flin Flon,90,CA,1604709848,85,54.77,-101.86,17.6,8.05
307,Huarmey,0,PE,1604709848,85,-10.07,-78.15,61.92,5.46
308,Shache,0,CN,1604709848,87,38.42,77.24,29.71,1.36
309,Chaoyang,0,CN,1604709848,42,41.57,120.46,48.99,10.07
310,Cienfuegos,100,CU,1604709658,94,22.15,-80.44,75.2,6.93
311,Namwala,9,ZM,1604709849,37,-15.75,26.44,76.33,3.02
312,Prestea,51,GH,1604709849,97,5.43,-2.14,74.53,2.89
313,Barcelos,75,PT,1604709792,87,41.54,-8.62,57.2,9.17
314,Yangi Marg`ilon,72,UZ,1604709849,34,40.43,71.72,35.6,4.7
315,Kahului,40,US,1604709605,46,20.89,-156.47,89.6,18.34
316,Chimoré,0,BO,1604709849,39,-16.98,-65.13,84.79,3.15
317,Gemeente Zaltbommel,0,NL,1604709849,84,51.8,5.25,42.01,7.72
318,Ortaköy,0,TR,1604709850,80,38.74,34.04,41.0,5.82
319,Bahía Honda,100,CU,1604709850,85,22.9,-83.16,76.01,13.09
320,Sangīn,59,AF,1604709850,38,32.07,64.84,53.13,6.04
321,Awjilah,30,LY,1604709850,66,29.11,21.29,62.55,8.75
322,La Ronge,100,CA,1604709822,79,55.1,-105.28,19.4,9.17
323,Nyurba,99,RU,1604709850,90,63.28,118.33,-4.32,4.9
324,Wangaratta,0,AU,1604709850,34,-36.37,146.33,66.99,12.75
325,Roald,100,NO,1604709850,81,62.58,6.13,51.8,21.92
326,Dzaoudzi,0,YT,1604709850,88,-12.79,45.27,75.2,2.24
327,Kismayo,26,SO,1604709851,81,-0.36,42.55,79.0,9.46
328,Kuusamo,0,FI,1604709851,74,65.97,29.18,37.4,13.87
329,Byron Bay,64,AU,1604709591,60,-28.65,153.62,75.99,13.87
330,Yaan,11,NG,1604709851,60,7.38,8.57,73.74,1.36
331,Harper,100,LR,1604709851,86,4.38,-7.72,77.45,4.45
332,Malanje,100,AO,1604709851,98,-9.54,16.34,63.91,2.53
333,Celestún,80,MX,1604709851,83,20.87,-90.4,78.39,14.58
334,Arman',100,RU,1604709851,86,59.7,150.17,12.25,8.97
335,Ahipara,99,NZ,1604709851,86,-35.17,173.17,67.77,14.72
336,Idanre,39,NG,1604709852,100,7.11,5.12,71.92,1.61
337,Hofn,0,IS,1604709852,76,64.25,-15.21,36.01,11.95
338,Sayaxché,100,GT,1604709852,97,16.52,-90.17,73.17,3.94
339,Gunzenhausen,1,DE,1604709852,100,49.1,10.75,37.99,4.7
340,Hobyo,27,SO,1604709852,79,5.35,48.53,79.75,6.33
341,Rock Springs,1,US,1604709781,28,41.59,-109.2,55.4,19.46
342,Okoneshnikovo,100,RU,1604709852,66,54.84,75.08,42.6,12.46
343,Airai,0,TL,1604709852,33,-8.93,125.41,77.56,6.46
344,Yanam,0,IN,1604709853,77,16.73,82.22,78.01,6.78
345,Evensk,89,RU,1604709820,90,61.95,159.23,14.41,5.7
346,Aykhal,75,RU,1604709853,84,66.0,111.5,-0.4,2.24
347,Morehead,90,US,1604709853,71,37.27,-87.18,59.0,4.5
348,Wah,0,PK,1604709853,53,33.8,72.7,51.8,9.17
349,Río Gallegos,0,AR,1604709853,61,-51.62,-69.22,50.0,21.92
350,Ishigaki,75,JP,1604709853,94,24.34,124.16,80.6,10.29
351,Buala,18,SB,1604709853,65,-8.14,159.59,85.69,3.04
352,Serrinha,3,BR,1604709616,87,-11.66,-39.01,71.64,9.64
353,Cowra,0,AU,1604709853,56,-33.83,148.68,62.01,1.01
354,Kruisfontein,100,ZA,1604709842,94,-34.0,24.73,57.0,1.01
355,Sampit,9,ID,1604709854,62,-2.53,112.95,84.79,2.01
356,Anaconda,1,US,1604709854,65,46.13,-112.94,46.4,4.7
357,Ndélé,68,CF,1604709854,65,8.41,20.65,73.67,3.13
358,Tecolutla,90,MX,1604709854,69,20.48,-97.02,77.0,7.23
359,Kalabo,59,ZM,1604709854,57,-14.97,22.68,74.93,4.21
360,Odobeşti,44,RO,1604709854,70,45.77,27.05,44.69,5.99
361,Namatanai,81,PG,1604709854,65,-3.67,152.43,85.32,8.93
362,Jati,0,PK,1604709854,64,24.35,68.27,70.59,4.38
363,Campbell River,20,CA,1604709778,56,50.02,-125.24,44.6,17.22
364,Abu Samrah,0,SY,1604709855,65,35.3,37.18,58.86,3.51
365,Yichang,0,CN,1604709855,59,30.71,111.28,65.3,3.18
366,Matadi,97,CD,1604709855,85,-5.82,13.45,77.74,2.53
367,Itarema,100,BR,1604709855,78,-2.92,-39.92,80.2,14.79
368,Dehui,0,CN,1604709855,37,44.53,125.7,37.4,6.71
369,Norrtälje,0,SE,1604709855,90,59.76,18.7,50.0,5.99
370,Muisne,56,EC,1604709855,81,0.6,-80.03,74.8,7.14
371,Bonthe,100,SL,1604709855,87,7.53,-12.51,78.67,10.13
372,Isabela,75,PH,1604709855,83,6.71,121.97,82.4,2.24
373,Presidencia Roque Sáenz Peña,0,AR,1604709855,44,-26.79,-60.44,70.61,7.7
